moive,sentence,score
닥터 스트레인지: 대혼돈의 멀티버스,웃긴 정말 많이 웃었네요.너~~무 유치하고 어이없어서-.-;;;연출이 이상했던 건지…충분히 재밌었을 스토리가 ㅠㅜ 풋~!!! 여러군데에서 뿜었음요 -.-;;가볍게 보고 지나가긴 좋았어요.,2
인터프리터,지루한 전개 속 빛나는건 그 시절 니콜 키드먼,4
민스미트 작전,재미없어요. 보지마세요,2
엑시트,참 조정석은 이런연기 잘해~,7
엄마,차라리 한국 더빙판이 있다면 그걸 보는 게 낫겠다 싶은 영화,2
롱 리브 더 킹: 목포 영웅,조폭출신이라는 식상한 소재로 현실감 있는 재미없는 선거과정에 현실감 떨어지는 단선적인 스토리가 따로 국밥으로 노는 영화 엔딩은 참신함 평점 7.1,7
스파이더맨: 노 웨이 홈,기대해서봤다가 주인공 답답해서 짜증나서 닥스만 보고 건너뛰기로 보고 치웠다 스파이더맨꺼는 다신안봐야지,2
베놈,서양 기생수도 나름 괜찮네 ,6
엄마,정말 정말 강력 추천!!,1
엄마,미국인이면 그냥 영어를 쓰세요 제발 ㅋㅋ;;,1
부기나이트,킬링타임용 어디까지가 현실이고 어디까지가 망상인가 최귀화 처럼 나도 (영화) 길을 잃었다,5
언차티드,재미 드럽게 읍네..감독 시발아..처 만들기전에  로맨싱스톤도 안봤냐?,2
앰뷸런스,간만에 헐리웃 영환데 쩝... 아니 마이클 베이가 만들었다며 왜 이렇게 별개 없어... 그래도 술 안주는 된다. 영화가 침체기니 원. 제이크의 연기는 진짜... ㅠㅠ 액션 영화 상업 영화 찍고 오스카 타도 되겠다 역시 끝내준다...,7
킹스맨: 퍼스트 에이전트,엑스맨 퍼스트클래스급을 기대했는데 다소 실망했음... 영화 초반부터 킹스맨이 만들어진후 활약 위주의 내용인줄 알았는데 킹스맨을 시작하게된 계기가 된 어떤 사건을 중점으로 다루는 내용이고 영화의 분위기가 매우 슬프고 무겁습니다.,6
엄마,내가 본 영화 중에 제일 최악,1
닥터 스트레인지: 대혼돈의 멀티버스,닥터스트레인지가 너무나 예전 그 샘 레이미 스러워서 호불호가 갈려버렸다,7
어부바,사투리도 연기도 어색하구 감동도 재미도 없었어요 드라마보다 재미없는영화..정준호믿고봤는데 너무 실망스럽네요,1
민스미트 작전,내용이 너무 단순하면서 복잡하달까요..?어디에 중점을 맞춰야할지 감이 잘 안 왔습니다 이도저도 아닌느낌...,6
닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미와 케빈 파이기의 애매모호한 조화. 웃자니 심각하고 무서워하자니 우습다.,7
닥터 스트레인지: 대혼돈의 멀티버스,극초반 특촬물인줄 사전지식 없이 보면 매우 헷갈림,6
신비한 동물들과 덤블도어의 비밀,덤블도어의 비밀이란게 그의 성적취향을 뜻하는 거였나? ,5
닥터 스트레인지: 대혼돈의 멀티버스,갑툭튀가 있고 마지막에 살짝 어이없었지만 그럭저럭 볼만함 누가 또 보러가자고 돈 내주고 티켓 준다면 다시 볼 의향 있음 하지만 내 돈은 안됨 완다 좀 행복하게 해줘라 이 못된 마블아!!,7
너는 여기에 없었다,호아킨 피닉스 연기 자체를 감상하는 팬에게는 좋겠다  그 외에 사람들에겐 아쉬운 듯  감독의 메시지 자체까진 좋았으나 훌륭한 메시지와 훌륭한 영상 외에는 아쉬웠다 음악이 신선하긴 했는데 이 영화 감상에 도움이 됐는진 모르겠다,7
인투 더 포레스트,"개연성 없고  너무 지루해요. 재난도 아니고, 스릴러도 아니고  영화가 주려는 메시지가 뭔지 모르겟음.",1
닥터 스트레인지: 대혼돈의 멀티버스,이젠 드라마까지 봐야되니 피곤하다 어벤져스4 이후로 마블 영화는 매니아층만 보는 영화된듯,5
민스미트 작전,이런 배우를 데리고 이렇게 연출하는게 요즘 유행인건가? 돌아버리겠네,2
어부바,처음으로 영화보다 도중에 나왔어요 정준호나온다해서 믿고 봤는데 한명도 빠짐없이 발연기에 듣기가 너무 싫었어요 애기한테 무슨 그런 어색한 사투리를 요구했는지 …. 40분동안 보는 내내 몸이 너무 불편했네요 보고나온신분들은 “내말이” 하실겁니다 .. 내말이가 대체 왠말 스토리도없고 연기도 감동도 집중도 하나도 안된 영화였어요 진짜 저도 내말이밖에 기억안나요 ,2
엄마,저 무서운거 진짜 못보는데 지루해서 졸았을 정도 ..,1
봄날,손현주 + 박혁권 + 정석용 연기 잘한다. 그냥 노련하다. 이 배우들이 아니었으면 이건 그냥 독립망작에 불과하다. 연출이 배우를 살릴 수도 있지만 다 죽어가는 영화의 불씨를 배우가 살릴 수 있다는 걸 보여준 작품.,7
서울괴담,이거 2점 이상 준애들은 감독한테 적선하는거냐? 감독이 재능이 없는듯 다른 직업 알아봐야 할듯..아이돌 기획사에서 돈받고 대충 캐스팅 해준다는 조건으로 막 만든 아니 발가락으로 만든 영화 연기 쑤렉 내용 쑤렉 우뢰매가 훨씬 재밌다~~재앙이다 ,1
앵커,배우들 연기가 다들 좋네,7
노인을 위한 나라는 없다,"별 하나도 주기 아까운 쓰레기 중에 쓰레기 영화. 이딴 쓰레기 영화 만들려면 차라리 대놓고 샤크네이도 처럼 병맛을 만들어라 어줍짢은 사이코 살인마 하나 만들어놓고 뭐 하는거임 이게???  제목과 영화 내용 하나도 상관없고 막판에 노인네둘이 대화하는 장면에서 노인어쩌고 나이들었네 어쩌고 나오는데 영화내용과 하나도 상관없는 대화내용임. 긴박감이 넘친다고 하는데 개뿔 무슨 긴박감? ㅋ브금이 없이도 긴박감을 느낀다고?? 이딴 영화를 빨아재끼는 니네는 대체 뭔 생각으로 영화를 보는거냐? ㅋ 브금이 있어도 긴박감이 전혀 없었을 것인데, 브금이 없으니 당연히 긴박감이 없지.  조쉬 브롤린 행동도 전혀 개연성이 없음. 돈 쌔비고 가만히 있으면 되지 물통들고 총들고 거기 왜 다시 쳐기어가냐? ㅋㅋ 어이가 없다 아주.  긴박감도 없고 주제도 없고, 마지막엔딩은 은퇴했으니 말이나 탈까?? 이 ㅈㄹ하다가 그냥 끝남ㅋㅋ 뭐냐 이게??? 아님 적어도 살인마가 정의의 뜻에 따라 끔찍하게 죽는 권선징악이라도 넣던가 막판까지 살인마가 활개치고 와이프한테까지 가서 동전던지기 짓거리하고 뭔 영화가 이래?? 내가 이래놓으면 니들은 겁나게 비공감 쳐박겠지? ㅋㅋ 많이 박아라 그게 바로 니들 대가리에 생각이라는게 없다는걸 인증하는거니까",1
어부바,와 내말이 밖에 안떠올라이게 영화냐내말이,1
엄마,대사처리는 미나리도 허접했지 왜 이 영화만 욕하나 ㅋㅋ,2
케빈에 대하여,태어난 아이는 백지상태 거기 뭘채워넣냐는 부모와 환경이 좌우한다오은영 강형욱 보면 죄다 키우는 보호자가 문제,7
닥터 스트레인지: 대혼돈의 멀티버스,굿바이 닥터스트레인지..,7
엄마,산드라오가 나와서 기대했는데...너무실망 B급 영화 같았어요ㅠ,2
배드 가이즈,좀 유치하긴한데 재밌게 잘봤습니다. 나오는 음악들도 좋아요,7
앰뷸런스,마이클 베이 이젠 퇴물이구나..,2
뜨거운 피,"담배 영화, 인해전술 영화, 조폭연기.연출 너무 억지스러움 그저 볼만한건 개개인의 연기력 ",6
닥터 스트레인지: 대혼돈의 멀티버스,좀비에 귀신영화에 ㅋㅋ보면서도 얼탱이가없어서 웃겻다 마블중에 스트레인지 잴조아하는디ㅜㅜ그냥 완다영화다….,5
닥터 스트레인지: 대혼돈의 멀티버스,말 그대로 혼란스럽다,7
식스티 세컨즈,마지막 카 액션씬이 인상깊은 좋은 자동차 액션 오락 영화..,7
민스미트 작전,뭔지 모르게 늘어지는 기분? 마지막 내용만 기억나요..,6
닥터 스트레인지: 대혼돈의 멀티버스,기대했던 것보단 쓰읍..,4
민스미트 작전,이게 첩보물이야 치정물이야,6
민스미트 작전,이게 첩보물이야 치정물이야,6
닥터 스트레인지: 대혼돈의 멀티버스,진심 별로였다. 스릴러도 아니고 sf도 아니고,2
늑대들,진짜 미치겠다...넘하네..,1
닥터 스트레인지: 대혼돈의 멀티버스,멀티버스의 빌드업으로만 만족해야 했던 아쉬운 영화,6
죽지않는 인간들의 밤,배우들이 아까운 영화네요 소재는 줗은데 연출이 너무 엉망이네요.좋은 감독과 연출팀을 만났으면 그나마 볼만 했을 영화였을텐데. 김수현의 영화 리얼이 더 좋은 영화라 생각하게 만드는 영화.태어나서 처음으로 평점 남기게 만드는 영화.그냥 유튜브 리뷰만 보는것을 추천 합니다.,1
닥터 스트레인지: 대혼돈의 멀티버스,마블이 아니라 갑분좀비영화..?,7
더 배트맨,역대 배트맨중 최악…. 너무 약해요. 기존 배우들 이미지가 넘 쌘듯해요,4
버블,"영상미,연출은 훌륭하다. 아무것도 할 게 없고 심심할 때 눈이라도 즐겁고 싶다면 한번쯤 봐도 괜찮은 영화.인어공주 스토리라인에 버블이라는 이상 현상을 입혔는데 이해가지 않는 요소가 한 두가지가 아니다. 버블은 외계인인가? 어떤 미지의 존재라고 치고 넘어가더라도 도쿄를 왜 폭발시킨 건지? 거미집? 개미지옥?같은 것은 왜 있는지? 주인공은 버블의 분노를 건드려서 폭발시킨 건가라는 생각을 하는데 도무지 이해가 가지 않는 부분. 파쿠르라는 비행 청소년들의 위험한 경기.. 소재 자체는 흥미로울 수 있으나 이게 인어공주 스토리 전개에 잘 녹아들었는지는 글쎄... 극초반에 도쿄가 현재 어떤 상태인지 설명하지만 이 설정들을 이해하고 전개에 필요한가를 납득하기에는 부족하다.",5
닥터 스트레인지: 대혼돈의 멀티버스,"완다 연기력 빼곤 모조리 망해버린 영화... 개연성, 스토리, 완성도를 놓여주는 자잘한 디테일 전부 박살나버려서 전체적으로 조잡한 영화가 탄생함... 보면서 닥스 패러디 영화보는줄 알았다",5
닥터 스트레인지: 대혼돈의 멀티버스,모든 걸 다 집어넣고 재미까지 안 놓쳤다.,7
배드 가이즈,머리가 복잡할때 눈높이를 낮추고 볼만한 애니메이션영화,6
닥터 스트레인지: 대혼돈의 멀티버스,장황하고 화려하게 끌고나가다가 마지막엔 피식 김새는 결말이 아쉽다. 예상가능했고 뭐 납득도 가지만 강도가 약하달까? 논외로 영화도 아니고 드라마를 인질로 잡는 건 좀 선 넘은 것 같다. 문제는 앞으로 더 많아질 것 같은게 무섭네.,7
엄마,이게 정말 재미가 있다구요 ??세상에나…,1
레벤느망,"역사적, 인권적 퇴행이 반복되어서는 안된다",7
스프링 블라썸,첫사랑?의 느낌을 표현을 하려고 한것 같으나,6
닥터 스트레인지: 대혼돈의 멀티버스,배우들이 연기는 정말 잘한다. 캐릭터 사용이 너무 아쉬움.,6
닥터 스트레인지: 대혼돈의 멀티버스,CG떡칠한 SF가 7점대면 망작이네걸러야겠군,6
패션왕,보다가 중간에 끄고 나왔습니다,1
민스미트 작전,"스토리, 캐릭터 구축 실패... 되도 않는 러브라인까지 넣어서 개노잼.. 전쟁영화가 이렇게 재미없을수도 있네 ㅋㅋㅋ",1
닥터 스트레인지: 대혼돈의 멀티버스,보다 나가고 싶은 영화는 첨이었음,1
연애 빠진 로맨스,이러한 장르들과 비슷해서 딱히 특별한면은 없었네요 주연배우 연기는 좋았네요 ㅋ,6
닥터 스트레인지: 대혼돈의 멀티버스,공포 한스푼 첨가한 완다의 모성애,7
캐빈 인 더 우즈,주인공년 존나 발암덩어리네,2
닥터 스트레인지: 대혼돈의 멀티버스,ㅜㅜ너무하잖아 좀비물은...,6
닥터 스트레인지: 대혼돈의 멀티버스,마블 중 최악임 돈아까움 나중에 넷플릭스나 왓챠에서 보세요,4
민스미트 작전,신께서 &amp;#39;그들&amp;#39;을 용서하고 &amp;#39;그&amp;#39;를 축복하시길,7
닥터 스트레인지: 대혼돈의 멀티버스,진심 스포 안하는데.보지마라,1
민스미트 작전,사기치는게 이렇게 어렵다는 다큐멘터리,6
감쪽같은 그녀,눈물샘 자극하는 영화 잼있게 봤습니다 울고싶은날 보면 좋을듯,7
닥터 스트레인지: 대혼돈의 멀티버스,"오랜만에 마블 극장에서 봤어요 영상 화려해서 볼재미는있었지만 약간잔인, 유치 했어요 음표나올때, 배경 등등 쿵푸허슬 보는줄 알았어요 여러가지 섞임",6
닥터 스트레인지: 대혼돈의 멀티버스,"이번 영화로 마블 영화는 앞으로 기대 안하고 볼란다. 개연성, 스토리 다 별로다. 실~망",4
크리미널 스쿼드,생각보다 액션은 조금 아쉬운데 마지막 반전이 신선했다. 개연성이 조금 떨어지긴 한다. 특히 중간에 키큰놈 집에서 제러드버틀러가 왜 튀어나오는지???,7
닥터 스트레인지: 대혼돈의 멀티버스,호러를 굉장히 싫어하는 사람으로써 왜 호러요소들을 집어넣었는지 이해할수없음. 연출방법도 올드하고 깜짝 놀라는 장면도 몇 있었고 저는 모든 마블영화와 드라마를 봤음에도 불구하고 개노잼이었어요. 스파이더맨은 정말 명작이었는데..ㅠ 완다 연기보는 맛에 봤네요.. 이런식이라면 마블에 쉽게 정땔듯..,2
민스미트 작전,"Decent but could have been better I was really looking forward to this film because it&amp;#39;s based on the book of the same name by Ben Macintyre, which was brilliant.It starts off very strong, setting the scene, as in wartime Britain and at what point of the war it is, and highlighting the importance of the mission that the main characters will do.Unfortunately as other reviewers have said the main plot of the movie is not the focus at times and instead it focuses on, frankly, irritating sub-plots. The strength of the film is the intelligence work that the characters do and that should have been the focus.The acting was great. I particularly liked, Jason Isaacs as John Godfrey a naval commander and Simon Russel Beale as Winston Churchill.Overall, worth watching, especially if you normally like World War Two dramas or spy stories, but potentially could have been better I think.",7
어부바,이걸 영화라고 만들엇냐?,1
닥터 스트레인지: 대혼돈의 멀티버스,이제 MCU라고 무조건 보는건 아닐듯.. 토르정도 보고 결정될듯,7
닥터 스트레인지: 대혼돈의 멀티버스,진짜 1편의 스콧 데릭슨의 닥스가 정말 재미있었음. 이번 샘 레이미 감독은 너무 유치하고 촌스러움. 특히 액션은 타노스전 이라고 생각하고 보면 정말 실망할거임 감독이 바껴서 그런가 cg도 뭔가 1편만큼 임펙트있게 연출이 안된것 같음유머씬도 1편이 정말 자연스럽게 웃음이 나왔는데 이번영화는 그냥 억지 웃음 만드는 느낌임,1
닥터 스트레인지: 대혼돈의 멀티버스,원했건 원하지 않았건 스티븐 스트레인지에게는 꼭 필요했던 멀티버스 여행,7
닥터 스트레인지: 대혼돈의 멀티버스,"좀,,,,그렇다,,,,",6
서울괴담,집에서 심야괴담회 보세요. ,2
서울괴담,"그냥 내 돌보러 갔다 옴 사실 처음에 영화 나온다길래 기대했다가 아이돌 대폭 나오는거 보고 그냥 우리 애도 그중 한명이구나 생각하고 연기랑 이런건 많이 기대하지 않았음 도시괴담봐서 아는데 너무 갑작스럽게 끝나는거,연출이 좀 부족했어서 이런 부분도 별로 기대 안했음그래도 기대안하고보니까 어느정도는 괜찮았음 아빠랑 같이 보러갔다 왔는데 아빠는 싫어하셨음 그냥 중고기구가 딱 일상생활과 근접해서 제일 공감할수 있겠다 생각함 사실 우리애 맨 마지막 에피소드에서 나왔는데 이거 끝나고 너무 갑작스럽게 끝나서 당황탐;; 엔딩 시크릿?보면서 진심 돈주고 보기엔 조금 아까웠음 그냥 좋아하는 아이돌,배우 보려면 짤로만 봐도 어느 정도 분량은 다 본거니까 괜히 돈쓰지 마세요;;아 참고로 갑툭튀는 있었음 근데 영상이 무서운게 아니라 브금이 무서웠음",6
신비한 동물들과 덤블도어의 비밀,영상미와 ost는 나쁘지 않음,6
닥터 스트레인지: 대혼돈의 멀티버스,"배우들의 열연과 갈려나갔을 cg팀에게는 박수쳐주고 싶음. 완다를 완전 공포스러운 빌런으로 묘사하고자 했던 시도도 새로웠고 재밌었는데 이 공포영화 클리셰를 후반까지 계속하니까 나중엔 너무 유치하게 느껴졌고... 공포 분위기 뿐만 아니라 억지 감동 억지 전개가 너무 많았는데, 멀티버스 세계가서 소중했던 기억 보여주는 가게 앞에서 뜬금없이 아메리카가 자기 엄마들 날려버린 기억이 등장하질 않나 날아다닐 수 있는 완다가 다리를 절면서 쫓아간다감. 그리고 눈 세개달린 스트레인지가 증명해보라고 할 때 자기 여동생 못구한 얘기듣고 납득하는게 이해가 안갔음 어차피 다른 멀티버스면 똑같은 일을 겪는게 아니지않음..?? 그리고 마지막에 사람들 죄다 희생시켜서 자기가 행복해지려던 완다가 마지막에 아메리카 힘 흡수해서 그냥 다른 멀티버스로 가면 되는걸 갑자기 눈물흘리면서 셀프 봉인엔딩까지.. 스파이더맨 노웨이홈하고 엔드게임이 너무 넘사벽급 재미여서 그런가 중반이후부터는 너무 재미없었고 너무 기대해서 본 것 치고는 진짜 1점짜리였음",5
민스미트 작전,전개가 지루합니다 중후반쯤 가서야 이야기에 속도가 붙는느낌.. 정보당국의 기만술에 대한 이야기로 전투씬같은건 끝날때쯤 1~2분남짓나오는게 전부니까 제목만 보고 스케일 큰 전쟁영화로 오해하시면 안됩니다,7
닥터 스트레인지: 대혼돈의 멀티버스,닥터 1을 생각하면 이번 시리즈는 그냥 없던 편으로 생각하고 싶음. 개연성이 떨어지고 스트레인지의 개성을 스토리 진행을 위해 뭉개버린 부분이 너무 아쉽다. 새로운 캐릭터도 그다지 매력적이지 않고... 쿠키는 첫번째만 보세요,2
앵커,독립영화 보는거같네뭐 말하고 싶은건지 모르겠네,1
닥터 스트레인지: 대혼돈의 멀티버스,잘봤어요,7
신비한 동물들과 덤블도어의 비밀,스토리가 탄탄한 느낌은 아님.그냥 갑자기 준비하다가 해결된 기분?중간중간에 호그와트 나와서 반가웠음 담편 나와도 의리로 볼듯 ,6
고령화 가족,책에서 느꼈던 캐릭터한명한명의 개성이 영화로보니좀밋밋한느낌이네요,6
엄마,본격 제사 장려 영화ㅇㅇ,2
닥터 스트레인지: 대혼돈의 멀티버스,스토리가 매우 흥미 로웠습니다고어한 연출이 미쳤네요그런데 이게 왜 12세인지;,7
앵커,내용이 어둡고 무겁다.보는내내 답답,1
봄날,와...  진짜 역대급으로 재미없다. 손현주의 웃음포인트 두어개랑 엄마가 오랜만에 만난 남동생보며 우는장면 5초빼고는 진짜 모든부분이 쓰레기..,2
로스트 시티,90년대 스타일의 액션 어드벤처 영화. 평범하고 밍밍한데 기본적인 재미는 있음. 브래드피트 출연.,7
부기나이트,음...,1
닥터 스트레인지: 대혼돈의 멀티버스,완다 무쌍찍는것만 한시간동안 보니깐 지루하네요 뭐 감동도 없고,4
닥터 스트레인지: 대혼돈의 멀티버스,마블에 세계관이나 철학은 사치야 제발 재밌게 만들어 달라..,4
민스미트 작전,"작전 준비와 실행 과정을 천천히 보여주는데, 실제 사건에 대해 검색해서 알고 가는 게 나을 듯",6
닥터 스트레인지: 대혼돈의 멀티버스,너무 기대했나? 호불호가 갈린다는데 나는 불호였나보다.,6
닥터 스트레인지: 대혼돈의 멀티버스,제목그대로예요 &amp;lt;대혼돈&amp;gt;,6
닥터 스트레인지: 대혼돈의 멀티버스,기대감에비해 너무실망스러웠음샘레이미특유의 공포스럿연출은 좋았지만 케릭터들을 이용하는 방식들은 너무단순하고 유치함까지 느껴졌을정도,2
기생충,그렇게 살인은 정당화 되었다.,4
강릉,이런 영화에 평가 자체가 아깝네요그냥 쓰레기입니다,1
드라이브 마이 카,상처받은 사람보고 용서하라는데 공감을 하라고?,4
엄마,리뷰 좋은것만 쓰고 악플은 안다는 사람인데 진짜 이건 아니잖아ㅋㅋ 최악 ,1
앰뷸런스,영화로 만들기위해 시간 늘리려고 중간중간 말도 안되는 설정을 넣은 영화~그리고 착한 은행털이범은 읎다 그냥 범죄자일뿐...경찰 수십명은 다쳐도 안에 안에 두사람만은 살려야 하는 스토리가 말이되나,6
닥터 스트레인지: 대혼돈의 멀티버스,너무 기대하고 기다리던 영화였는데연출이 좀 아쉬웠습니다~ ,6
닥터 스트레인지: 대혼돈의 멀티버스,닥스는 피아노를 잘 친다,6
부기나이트,"살아있을 마지막 날, 오늘은 뭘 해도 되는 날이다.",7
닥터 스트레인지: 대혼돈의 멀티버스,초반에 지루해서 졸았음 …. ,6
엄마,근데 이민생활 1세대인 엄마 미국에서 히키코모리가 돼서 한국말도 잊어버리고 한국말 못하시는거?그냥 연기를못하시는거?,2
도망자,이걸보고   평점  높게주신분 들이대단,2
디바,반전뭔지?이유영 발로 차고 혼자 산거?이정돈예상하는데 앞에 환영이런거 뭐 그리 과하게 넣음 예상치 못한반전이라도 있는줄,1
닥터 스트레인지: 대혼돈의 멀티버스,지루할 틈없이 꽉 채운 볼거리. 완다의 개연성이나 스토리는 유치.,7
민스미트 작전,세계사에서 몇 안 되는 영국의 착한짓,7
메가마인드,"&amp;#39;악&amp;#39;이 만든 &amp;#39;악&amp;#39;..하지만 선을 추구한다.그리고 선은 악을 추구할때, 과연 진정한 악은 누구일까?",6
민스미트 작전,보이지 않는 전쟁이었던 첩보 심리 영화. 그들의 수고를 기리며.,6
벼랑 위의 포뇨,색감 자체는 보기 좋은데.. 생각보다 너무 미화된 영화가 아닐까? 그저 색감이 이쁘다는 이유로 작품의 본질성이 평가되어지고 있다.,5
언브로큰,마냥 달리고 싶은 영화 달리고픈욕망을 채워 꿈을 이뤄주는 작품이라고 생각된다.,6
어부바,정말 별로에요 애들끼리 사투리쓰며 시간끌고 전개이어가는것도 느리고 감동도 없네요 실망했습니다 ,2
닥터 스트레인지: 대혼돈의 멀티버스,최강 전사들인데 완다한테는 다들 왜 그렇게 허무하게 죽누… 음표로 싸우는거 진짜 엥? 하고 봤다 쿠키영상 2번째 보라고 한사람 대박 진짜? 내가 본게 맞나싶었음 ㅋㅋ 칭찬해 :),6
어부바,개연성 하나도없는 영화같지도않은 영화 절대보지마세요,1
배드 가이즈,괜찮아요 재밌어요,7
니 부모 얼굴이 보고 싶다,배우들 보는 맛 ..,5
신비한 동물들과 덤블도어의 비밀,화려하긴 한데 영..,5
로스트 시티,킬링타임으론 괜찮 ..,5
불도저에 탄 소녀,신선하고 재밌어요 .,7
스텔라,최악임 돈이 아까움,1
우연과 상상,"첫번째 이야기: 시작은 제일 잔잔한데 보다가 뜨헉 할정도의 급발진 전개로 관객을 놀래킴. 갑분싸로 끝날까 조마조마할때 다행히 좋은 방향으로 감.두번째 이야기: 이 여자는 조금 단순하다. 어린 남자한테 쉽게 이용당하고 휘둘린다. 그러면서 유혹하러 가면서도 본인이 그 대상한테 끌리는 아이러니함을 보이고, 실수는 큰 파멸로 이어졌다. 제일 아이러니하게도 본인 상대방 인생을 망친 사건이나 안타깝게도 제일 찝찝히게 끝난다.세번째 이야기: 착각이었을까 아니면 우연이었을까? 이 문장 하나로 나머지는 상상바란다.총평: 훌륭하게 잘만든 영화다. 근데 두번째 스토리 마무리를 잘 맺지 못했다. 열린 결말이나, 나머지는 관객이 알아서 이런 느낌도 아니고 부자연스럽다.",7
수퍼 소닉2,괜찮아요 볼만함 ..,6
목격자,개연성이 없어요 ㅜㅜ 너무 대충 만들었음 집중해서 보다가 확 깨지네 ,2
닥터 스트레인지: 대혼돈의 멀티버스,중간중간 유치해질 수 있는 연출들을 배우들의 명연기로 잘 살려낸 영화임 마블이니까 당연히 잘 만들었겠지 하는 생각은 버리고 머리를 비운 채로 보면 나쁘지 않은 듯 ,7
닥터 스트레인지: 대혼돈의 멀티버스,닥스1에서 느꼈던 세련된 효과와 연출을 기대하고 관람했는데 예상외로 클래식한 장면이 많아서 아쉬웠네용 그래서 그런지 집중이 안됐어요,6
닥터 스트레인지: 대혼돈의 멀티버스,잫 보았음니다.  좋은영화엿슨니다,6
닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미 감독 특유의 B급 영화 감성이 나왔다.하지만 아주 강했던 영상미가 돋보였던 전작에 비해 이번 영화는 아쉬운 부분이 있었다.굳이 닥터 스트레인지가 B급 공포 영화의 스타일로 찍혀야 했는지 의문이다.,6
앰뷸런스,시원하다 볼만함 ..,7
배니싱: 미제사건,다 별로임 연기 연출.,2
모비우스,자레트 레토가 좋아요 .,4
뜨거운 피,천명관의 다음ㅇ 기대된다..,6
메리 미,나쁘지 않았어요 ...,5
문폴,맨날 똑같음 이제 질림,2
블랙라이트,리암 니슨도 이제 질리는ㄴ...,4
이상한 나라의 수학자,걍 뭐 최민식 연기 굳 ..,5
인민을 위해 복무하라,최악임 돈만 버리고 옴,1
안테벨룸,신박하고 볼만해요 ..,6
엄마,막장영화는 아니지만 너무 허무하다 20분이면 될 영화일듯,2
언차티드,킬링타임용으로 괜찮아요,7
만년이 지나도 변하지 않는 게 있어,어설프게 ㄸ라 흉내내기..,2
엄마,와 진짜 이건 너무 심하다.. 올해 본 영화 중에서  너무 심해,1
나일 강의 죽음,걍 뭐 배우보는 맛으로도 괜찮..,6
해적: 도깨비 깃발,1편보다 재미없어요...,4
킹메이커,불한당보단 아쉽지만 볼만함,7
실미도,영화내려요 유가족들이 싫어한데요 이 영화.역사왜곡은 안돼요. ,1
레지던트 이블: 라쿤시티,점점 별로로 간다...,1
평평남녀,방금 보고나왔다.이 영화는SF다. 씬에 맥락이 1도없다.중간에 나갈뻔했지만 여주인공 연기땜에 겨우봤다. 진짜 씬이아니라 시퀀스에도 맥락이 1도없다. ,2
비밀은 없다,최유화는 너무 몸을 사림. 어두컴컴하게 찍어서 아무것도 안나옴,7
007 카지노 로얄 ,"야마카시 후, 배... 산으로~~~",2
민스미트 작전,그냥 그럼 재미는 없음,6
올드보이,"영화속 남자들은 지들끼리 잘못하고 지들끼리 복수를 하고, 그 과정에서 애꿎은 여자들만 모조리 희생을 시킨다. 소문을 내서 누나만 자살을 하고, 아내는 죽임을 당하며, 딸은 의지도 없는 근친을 하게됨… 대체 왜 여자들은 남자들의 분노와 각성, 복수를 위하여 희생되어야 하는걸까..? 오로지 두 남성들로 인해 철저히 도구화되는 영화 속 여자들… 뭐 현실이 그렇기에 현실을 반영했다면 할 말은 없지만 ",6
타짜: 원 아이드 잭,재미도 없고 최유화도 아무것도 안나옴,5
닥터 스트레인지: 대혼돈의 멀티버스,이게 영화냐?완다가 수많은 사람들을 죽인 이유가 있지도 않은 자기 새끼들과 살겠다고 사람들을 죽이고 멸망으로 가져간다는 개쑤레기 내용이 말이되나?쓰레기 스토리 지루하고 돈이 아깝네요,2
언차티드,기대보다 못한;; 좀 지루해요;; ,6
닥터 스트레인지: 대혼돈의 멀티버스,에휴 돈아깝다....,2
닥터 스트레인지: 대혼돈의 멀티버스,마블을 너무 기대했던걸까.,6
엄마,대체 이 영화에서 전달하려는게 뭔지 도통 모르겠다 무섭지도 않고 재미도 없다,1
매리,막판만 볼만. 시원시원한 복장 볼만.. 다소 지루.. 이게 올드만형 이렇게 쓰는게 맞나?,3
닥터 스트레인지: 대혼돈의 멀티버스,음...자세하게는 모르지만 전투 액션씬이 손발이 오그라드는 부분이 많네요ㅋㅋㅋ,6
닥터 스트레인지: 대혼돈의 멀티버스,늘 사랑으로 키울게,6
어부바,아역배우들 보는 재미가 있었습니다. 라이트하게 감상하기 좋은 작품이네요.,7
엄마,따로 종교 없으면 제사 지냅시다 ,4
닥터 스트레인지: 대혼돈의 멀티버스,진짜 재미없네,1
닥터 스트레인지: 대혼돈의 멀티버스,샘레이미는 공포영화만 찍어라..,7
닥터 스트레인지: 대혼돈의 멀티버스,제목 닥터스트레인지:더좀비로 바꾸셈,6
닥터 스트레인지: 대혼돈의 멀티버스,요즘 마블은 비대해진 세계관 감당을 못하는지 아무리 잘 만들어도 정신사나움 ㅡㅡ; cg는 한결같이 좋아지긴 하는 듯. 완다비전 내용은 대충 파악하고 가길 추천 ,6
닥터 스트레인지: 대혼돈의 멀티버스,완다비전 안본사람은 보지마세요보다가 어이털리고 노잼이라 보다 나옴,1
닥터 스트레인지: 대혼돈의 멀티버스,음표로 싸울때 좀…웃겼습니다.하프에서 음표 하나 날아갈때 웃참 실패후반부부터 내용은 재밌습니다…완다 연기를 너무 잘해서 소름돋음,6
